Beds,Baths,Cars,RentYear,Suburb,State,Type,RentMonth,RentAmount
3,1,1,2021, constitution hill,nsw,house,june,390
3,1,2,2016, conway,qld,house,october,280
3,1,1,2021, coober pedy,sa,house,june,190
3,1,2,2021, coobowie,sa,house,february,250
3,1,2,2021, coochiemudlo island,qld,house,may,450
3,1,6,2021, coodanup,wa,house,june,500
1,1,1,2021, cooee,tas,unit,april,185
2,1,1,2021, cooee bay,qld,unit,june,300
2,1,2,2021, coogee,nsw,unit,june,650
3,1,1,2021, cook,act,house,april,620
3,1,2,2016, cooks gap,nsw,house,june,270
2,2,1,2021, cooks hill,nsw,house,june,695
2,1,1,2019, cooktown,qld,house,november,300
3,2,1,2019, coolabine,qld,house,april,400
2,1,1,2021, coolagolite,nsw,house,march,350
3,1,1,2016, coolah,nsw,house,april,220
4,2,2,2021, coolamon,nsw,house,june,450
3,1,7,2008, coolana,qld,house,november,285
2,1,1,2021, coolangatta,nsw,unit,march,450
3,1,3,2021, coolaroo,vic,house,may,300
3,1,2,2020, coolatai,nsw,house,march,180
3,1,1,2021, coolbellup,wa,house,june,400
5,3,3,2021, coolbinia,wa,house,june,1850
2,1,1,2010, coolgardie,nsw,unit,august,175
3,1,2,2019, coolongolook,nsw,house,december,345
2,1,2,2014, cooloola,qld,house,june,245
4,2,4,2021, cooloola cove,qld,house,may,380
3,1,2,2021, cooloongup,wa,house,june,350
3,1,1,2021, cooltong,sa,house,february,270
7,5,2,2021, coolum beach,qld,house,june,2100
5,2,2,2019, coolup,wa,house,october,475
2,1,1,2021, cooma,nsw,unit,june,260
3,2,1,2021, coombabah,qld,house,june,550
3,1,4,2021, coomba bay,nsw,rural,march,450
1,1,2,2020, coomba park,nsw,house,december,260
1,1,1,2021, coombs,act,house,june,480
3,2,1,2021, coomealla,nsw,house,may,350
5,4,2,2021, coomera,qld,house,june,1095
4,2,2,2020, coominya,qld,house,february,400
4,2,2,2015, coomoora,vic,house,october,360
3,1,1,2020, coonabarabran,nsw,house,october,240
3,2,2,2008, coonabidgee,wa,house,september,250
4,1,1,2020, coonamble,nsw,house,december,230
5,2,6,2019, coonarr,qld,rural,may,500
3,1,4,2020, coongulla,vic,house,april,250
3,1,2,2019, cooperabung,nsw,house,june,330
4,2,1,2017, coopernook,nsw,house,may,470
4,1,1,2021, coopers plains,qld,house,june,420
5,4,2,2020, coopers shoot,nsw,house,december,3000
4,2,2,2021, coorabell,nsw,house,may,3000
3,2,2,2021, cooran,qld,rural,june,540
3,2,2,2021, cooranbong,nsw,house,june,435
3,2,2,2018, cooriemungle,vic,house,september,270
4,2,2,2021, cooroibah,qld,house,april,790
4,2,2,2021, cooroy,qld,house,june,660
2,2,1,2021, coorparoo,qld,unit,june,475
1,1,1,2021, cootamundra,nsw,unit,june,220
4,2,1,2019, cootharaba,qld,house,july,480
3,1,1,2018, cootralantra,nsw,house,july,330
4,1,2,2013, coowonga,qld,house,august,420
2,1,1,2021, cooya beach,qld,house,may,280
1,1,1,2021, copacabana,nsw,house,june,325
3,1,1,2017, copeland,nsw,house,october,300
3,1,1,2018, copping,tas,house,may,340
4,1,1,2021, coraki,nsw,house,april,300
2,1,1,2021, coral cove,qld,house,march,335
4,2,2,2019, coralville,nsw,house,may,350
3,2,2,2020, coramba,nsw,house,november,440
3,2,2,2011, corbie hill,nsw,house,march,250
2,1,2,2021, cordalba,qld,house,april,250
3,2,2,2021, cordeaux heights,nsw,house,june,520
3,1,1,2019, cordelia,qld,house,december,260
1,1,1,2021, corinda,qld,house,june,325
3,2,2,2021, corindi beach,nsw,house,february,500
4,1,2,2021, corinella,vic,house,february,400
3,1,2,2018, coringa,qld,house,july,240
3,1,2,2021, corio,vic,house,june,350
3,2,2,2021, corlette,nsw,villa,june,550
3,2,2,2019, corndale,nsw,house,july,520
4,2,2,2014, cornella,vic,townhouse,july,550
4,2,4,2021, cornishtown,vic,house,may,480
4,2,2,2021, cornubia,qld,house,june,700
4,1.5,1,2021, coromandel valley,sa,house,february,450
2,1,1,2021, coronet bay,vic,house,april,250
1,1,1,2011, cororooke,vic,house,march,130
3,1,1,2021, corowa,nsw,house,june,240
3,1,2,2021, corrimal,nsw,house,june,630
4,3,6,2019, corryong,vic,house,december,300
4,2,2,2021, cosgrove,qld,house,june,440
3,1,6,2021, cossack,nt,house,january,700
4,2,4,2021, cotswold hills,qld,house,may,460
2,2,1,2021, cottesloe,wa,unit,may,640
2,1,2,2012, cottles bridge,vic,house,december,380
3,1,4,2021, coutts crossing,nsw,house,april,375
3,1,1,2020, coverty,qld,rural,august,290
3,1,2,2021, cowandilla,sa,house,june,460
3,2,2,2021, cowaramup,wa,house,may,560
3,1,3,2021, cow bay,qld,house,january,300
4,1,1,2021, cowell,sa,house,april,240
3,2,1,2021, cowes,vic,house,june,470
3,1,1,2021, cowley,qld,house,march,340
3,1,2,2021, cowra,nsw,house,june,370
2,1,1,2020, cowwarr,vic,house,december,215
4,2,6,2017, crabbes creek,nsw,house,april,750
5,2,2,2021, crace,act,townhouse,june,840
1,1,2,2018, crackenback,nsw,unit,june,600
2,1,1,2009, cradoc,tas,house,november,230
3,1,3,2020, crafers,sa,house,june,420
4,2,2,2020, crafers west,sa,house,december,560
5,3,5,2021, craigburn farm,sa,house,april,800
3,1,2,2019, craigie,vic,house,may,350
4,2,2,2021, craigieburn,vic,house,june,400
2,2,1,2021, craiglie,qld,unit,june,320
3,1,3,2021, craigmore,sa,house,june,310
3,1,2,2020, craignish,qld,house,july,320
3,2,1,2021, cranbourne,vic,house,june,340
4,2,2,2021, cranbourne east,vic,house,june,420
4,2,2,2021, cranbourne north,vic,house,june,465
4,2,2,2021, cranbourne south,vic,house,may,560
4,2,1,2021, cranbourne west,vic,house,june,1912
2,1,1,2021, cranbrook,qld,unit,june,265
3,1,1,2021, cranebrook,nsw,house,june,400
3,1,1,2021, cranley,qld,house,april,320
2,1,2,2020, crawford,qld,house,april,250
3,3,2,2021, crawley,wa,house,may,990
2,2,1,2021, cremorne,nsw,townhouse,june,645
3,2,2,2020, cremorne point,nsw,unit,november,795
4,2,1,2021, crescent head,nsw,house,june,600
2,1,1,2020, cressy,tas,unit,october,220
4,1,2,2021, crestmead,qld,house,june,400
1,1,1,2021, crestwood,nsw,house,june,300
2,1,1,2021, creswick,vic,house,june,260
4,1,2,2014, creswick north,vic,house,august,340
2,1,2,2021, crib point,vic,house,june,360
2,1,1,2021, cringila,nsw,house,march,410
3,2,2,2021, cromer,nsw,house,june,940
1,1,1,2021, cronulla,nsw,unit,june,380
4,2,2,2020, crookwell,nsw,house,november,400
3,2,4,2020, crossdale,qld,house,march,400
4,2,2,2020, crosslands,nsw,house,january,450
2,1,1,2011, crossley,vic,house,november,250
4,2,2,2017, croudace bay,nsw,house,november,660
2,1,1,2021, crows nest,nsw,unit,june,750
4,2,4,2021, croydon,nsw,house,june,650
3,2,2,2021, croydon hills,vic,house,may,450
4,2,2,2021, croydon north,vic,house,june,599
2,1,1,2021, croydon park,nsw,house,june,350
3,2,1,2021, croydon south,vic,house,april,450
4,1,2,2013, cryna,qld,house,february,490
5,1,2,2020, crystal brook,qld,house,may,360
3,1,1,2020, crystal creek,nsw,house,april,450
3,1,2,2021, cuballing,wa,house,april,450
3,1,2,2020, cudal,nsw,house,june,400
2,1,2,2021, cudgen,nsw,unit,june,475
3,3,2,2019, cudgera creek,nsw,house,october,750
3,1,1,2014, cudgewa,vic,house,december,165
1,2,1,2018, cudmirrah,nsw,house,may,600
4,1,4,2019, cue,wa,house,november,550
2,1,1,2020, culburra beach,nsw,house,august,375
3,1,1,2019, culcairn,nsw,house,april,300
3,1,1,2021, cullen bullen,nsw,house,february,250
5,3,6,2019, cullerin,nsw,house,august,520
3,1,1,2020, cullinane,qld,house,february,240
3,1,1,2018, cullulleraine,vic,house,april,150
2,1,1,2021, cumbalum,nsw,unit,june,550
3,2,1,2021, cumberland park,sa,house,june,480
3,1,2,2019, cummins,sa,house,march,240
5,1,2,2021, cumnock,nsw,house,january,325
3,1,1,2020, cunderdin,wa,house,march,250
4,2,4,2021, cundletown,nsw,house,march,400
5,2,2,2019, cungulla,qld,house,june,330
3,2,1,2021, cunjurong point,nsw,house,march,420
4,1,2,2018, cuprona,tas,house,may,330
3,1,1,2021, curl curl,nsw,house,april,1100
3,1,1,2021, curlewis,nsw,house,april,290
3,1,1,2021, curra,qld,rural,january,380
2,1,2,2019, currabubula,nsw,house,october,220
1,1,1,2021, currajong,qld,house,may,240
4,2,2,2021, currambine,wa,house,june,525
2,1,2,2011, curramore,qld,house,april,295
1,1,1,2021, currans hill,nsw,unit,may,330
2,1,1,2020, currarong,nsw,house,june,295
4,1,2,2015, currency creek,sa,rural,september,450
4,2,2,2021, currimundi,qld,house,june,560
2,1,1,2021, currumbin,qld,unit,june,580
1,1,2,2020, currumbin valley,qld,house,november,450
4,2,2,2021, currumbin waters,qld,house,june,610
4,1,1,2021, curtin,act,house,june,675
3,1,2,2021, cushnie,qld,house,june,250
3,2,2,2015, cuthbert,wa,house,january,450
3,1,3,2021, cygnet,tas,house,february,290
1,1,4,2018, dadswells bridge,vic,rural,august,260
3,3,2,2021, daglish,wa,house,june,730
4,2,2,2018, d'aguilar,qld,house,june,470
3,2,2,2010, dairy plains,tas,rural,march,300
4,1,4,2021, daisy hill,qld,house,june,485
4,2,1,2021, dakabin,qld,unit,june,385
3,1,4,2021, dalby,qld,house,june,220
3,2,4,2016, dales creek,vic,rural,july,330
2,1,2,2021, daleys point,nsw,house,february,880
4,2,2,2021, dalkeith,wa,house,june,2500
3,2,5,2019, dallarnil,qld,house,march,380
3,1,2,2021, dallas,vic,house,june,360
4,2,5,2020, dalma,qld,house,may,350
4,2,2,2021, dalmeny,nsw,house,may,600
2,1,2,2014, dalrymple heights,qld,house,june,295
4,1,5,2019, dalveen,qld,house,march,280
4,2,2,2021, dalyellup,wa,house,june,350
2,1,2,2019, dalysford,qld,house,may,230
3,3,2,2014, dalyston,vic,house,september,300
4,2,5,2019, damper creek,qld,house,august,300
3,1,5,2021, dampier,wa,house,may,850
2,1,1,2021, dandenong,vic,unit,june,375
1,1,5,2021, dandenong north,vic,unit,june,150
3,2,2,2020, dandenong south,vic,house,november,435
4,3,3,2014, dangelong,nsw,house,october,450
1,1,1,2021, dapto,nsw,unit,june,200
3,1,1,2017, daradgee,qld,house,december,250
3,2,2,2021, darch,wa,house,june,460
3,1,3,2019, dardanup,wa,house,november,330
3,2,2,2021, dareton,nsw,house,april,320
3,2,3,2021, darley,vic,house,january,520
4,1,1,2020, darling downs,wa,house,june,750
3,1,2,2021, darling heights,qld,house,june,390
1,1,1,2021, darlinghurst,nsw,unit,june,700
2,1,1,2021, darling point,nsw,house,june,825
3,2,1,2020, darlington,sa,unit,december,410
4,2,4,2021, darlington point,nsw,house,june,380
3,2,3,2020, darnum,vic,house,june,350
3,1,2,2021, darra,qld,house,june,375
2,1,1,2017, darraweit guim,vic,house,march,270
3,1,1,2017, daruka,nsw,house,march,365
1,1,1,2021, darwin,nt,unit,may,300
3,2,2,2020, darwin river,nt,house,april,450
3,2,2,2017, datatine,wa,house,december,400
2,1,3,2008, daveyston,sa,house,january,220
3,2,1,2021, davidson,nsw,house,may,895
3,2,1,2021, davistown,nsw,house,may,550
3,1,1,2021, davoren park,sa,house,june,250
2,2,2,2018, dawes point,nsw,unit,july,1100
5,3,2,2021, dawesville,wa,house,june,470
3,2,2,2021, daw park,sa,house,june,650
4,2,3,2021, dayboro,qld,house,may,800
2,1,1,2021, daylesford,vic,house,may,370
3,2,2,2021, dayton,wa,house,june,420
1,1,1,2021, deagon,qld,villa,may,250
3,2,2,2021, deakin,act,house,june,1300
3,1,1,2020, deanmill,wa,house,june,240
2,1,1,2021, dean park,nsw,villa,may,350
3,1,3,2020, deans marsh,vic,house,july,380
3,2,1,2021, deception bay,qld,house,june,380
4,2,2,2021, deebing heights,qld,house,june,385
4,1,2,2020, deep bay,tas,house,august,460
2,2,2,2020, deepdale,wa,house,december,390
4,2,2,2020, deepdene,vic,house,august,750
3,1,2,2017, deepwater,nsw,house,january,240
4,2,2,2021, deeragun,qld,house,june,400
4,2,2,2021, deer park,vic,house,june,1825
3,1,1,2017, deer vale,nsw,house,february,250
1,1,1,2021, dee why,nsw,unit,june,580
2,1,1,2021, degilbo,qld,house,april,220
4,2,2,2021, delacombe,vic,house,june,415
3,1,2,2021, delahey,vic,house,june,350
3,1,4,2021, delan,qld,house,may,350
4,2,4,2021, delaneys creek,qld,house,january,490
3,1,3,2021, deloraine,tas,house,april,385
2,1,1,2021, delungra,nsw,house,january,200
2,1,1,2018, denham,wa,house,april,210
4,2,2,2021, denham court,nsw,house,june,600
4,3,1,2021, denhams beach,nsw,unit,may,1700
3,1,1,2021, deniliquin,nsw,unit,june,200
4,2,1,2021, denison,vic,house,march,380
3,2,1,2021, denistone,nsw,townhouse,june,680
2,2,1,2020, denistone east,nsw,villa,september,550
2,1,1,2021, denistone west,nsw,house,march,600
4,2,2,2021, denman,nsw,house,march,370
3,2,2,2021, denmark,wa,house,june,370
3,1,2,2021, dennington,vic,house,march,1950
2,1,1,2019, denver,vic,house,september,275
2,1,1,2021, depot hill,qld,house,january,300
3,1,1,2013, derby,tas,house,october,140
3,1,2,2012, dereel,vic,house,september,300
3,1,1,2021, dernancourt,sa,house,april,440
4,2,2,2021, derrimut,vic,house,june,480
4,1,2,2017, derrinallum,vic,house,october,225
3,1,3,2021, derwent park,tas,house,february,450
3,2,2,2021, desert springs,nt,unit,march,665
3,1,2,2020, deuchar,qld,rural,january,420
3,1,1,2020, devereux creek,qld,house,april,460
3,2,2,2021, deviot,tas,house,june,450
5,3,2,2020, devon meadows,vic,house,december,600
3,1,2,2016, devon north,vic,house,march,250
3,2,3,2021, devon park,qld,house,january,480
1,1,1,2021, devonport,tas,house,june,210
4,1,4,2021, dharruk,nsw,house,june,385
4,2,2,2010, dhurringile,vic,house,may,240
3,2,1,2019, diamond beach,nsw,house,june,350
2,2,2,2021, diamond creek,vic,townhouse,may,450
4,2,2,2021, dianella,wa,house,june,530
2,2,1,2021, dickson,act,townhouse,june,630
3,1,4,2021, dicky beach,qld,house,june,750
2,1,1,2021, diddillibah,qld,house,april,420
4,1,1,2008, digby,vic,house,june,130
3,1,3,2021, diggers rest,vic,house,june,360
3,1,4,2017, dilkoon,nsw,house,july,260
4,1,2,2020, dilston,tas,house,july,420
3,2,2,2021, dimboola,vic,unit,june,280
3,1,1,2017, dimbulah,qld,house,december,300
4,2,1,2021, dingley village,vic,house,april,460
3,1,2,2013, dingo beach,qld,house,february,370
1,1,1,2021, dingo pocket,qld,house,june,300
2,1,2,2019, dingup,wa,house,may,225
3,1,1,2021, dinmore,qld,house,february,310
4,2,3,2016, dinner plain,vic,house,february,350
3,2,1,2021, direk,sa,house,april,325
2,1,2,2018, dirranbandi,qld,villa,september,160
4,1,2,2020, dixie,vic,house,june,245
1,1,2,2020, dixons creek,vic,unit,november,360
3,1,2,2020, djarawong,qld,house,october,350
4,2,4,2021, djugun,wa,house,march,790
4,2,1,2020, dobie,vic,house,october,350
3,1,1,2018, dobies bight,nsw,house,june,330
2,1,1,2021, docklands,vic,unit,june,475
4,2,1,2020, dodges ferry,tas,house,december,520
3,2,2,2020, dolans bay,nsw,townhouse,october,755
3,3,2,2021, dolls point,nsw,villa,may,900
3,2,2,2021, dolphin heads,qld,unit,march,390
4,2,1,2021, dolphin point,nsw,house,may,450
3,1,4,2019, dolphin sands,tas,house,may,285
2,2,1,2019, don,tas,house,september,310
3,1,1,2019, donald,vic,house,october,220
1,1,1,2021, doncaster,vic,unit,june,385
3,2,3,2021, doncaster east,vic,house,june,550
3,2,3,2018, dondingalong,nsw,house,april,420
3,3,2,2020, dongara,wa,house,august,380
2,1,5,2019, donnybrook,qld,house,august,295
4,2,2,2021, donvale,vic,house,june,500
4,2,3,2018, dooen,vic,house,september,500
3,1,2,2019, dookie,vic,house,november,230
3,2,2,2021, doolandella,qld,townhouse,june,335
4,2,2,2021, doonan,qld,house,may,900
4,1,1,2021, doonside,nsw,house,june,455
2,1,2,2021, dooralong,nsw,house,march,650
3,1,1,2020, dora creek,nsw,house,november,430
3,2,1,2021, doreen,vic,house,june,395
4,2,1,2021, dorrigo,nsw,house,june,430
3,2,1,2021, double bay,nsw,house,june,1550
3,1,1,2021, doubleview,wa,townhouse,june,450
3,1,2,2021, doubtful creek,nsw,house,march,400
2,1,1,2021, douglas,qld,unit,june,350
5,2,4,2018, douglas park,nsw,rural,march,850
3,1,2,2021, dover,tas,house,march,390
3,2,2,2021, dover gardens,sa,house,may,570
5,3,2,2021, dover heights,nsw,house,june,4000
3,1,1,2021, doveton,vic,house,june,335
3,1,2,2013, dowerin,wa,house,february,180
3,1,2,2021, downer,act,house,june,650
3,1,1,2017, downlands,tas,house,july,320
5,1,1,2015, dows creek,qld,house,may,250
3,1,1,2017, dowsing point,tas,house,february,310
4,1,1,2017, doyalson,nsw,house,july,400
4,2,2,2019, doyalson north,nsw,house,july,560
5,3,4,2020, draper,qld,house,may,750
4,2,2,2021, drayton,qld,house,june,380
5,2,3,2021, drewvale,qld,house,june,700
2,1,1,2021, driver,nt,unit,june,325
4,2,2,2021, dromana,vic,house,june,695
3,1,1,2021, dromedary,tas,house,may,470
4,2,2,2021, drouin,vic,house,june,450
3,1,2,2017, drouin south,vic,house,september,380
3,1,2,2021, drumcondra,vic,house,april,410
2,1,2,2020, drummond,vic,house,may,400
4,2,2,2021, drummond cove,wa,house,june,390
2,2,1,2021, drummoyne,nsw,unit,june,760
3,2,2,2021, drysdale,vic,house,may,395
4,2,2,2021, dubbo,nsw,house,june,450
3,1,9,2018, dublin,sa,house,july,450
3,1,2,2015, duckenfield,nsw,house,january,390
4,2,2,2019, dudley,nsw,house,june,620
3,2,1,2021, dudley park,sa,house,january,420
2,1,1,2021, duffy,act,house,june,400
4,4,4,2021, duffys forest,nsw,rural,may,2200
3,2,1,2015, dulguigan,nsw,house,november,385
3,1,2,2018, dulong,qld,house,march,400
3,2,2,2020, dulwich,sa,house,december,1200
2,1,1,2021, dulwich hill,nsw,townhouse,june,600
3,1,1,2020, dumaresq island,nsw,house,september,350
3,2,2,2020, dumbalk,vic,house,february,325
3,1,2,2020, dumbleton,qld,house,may,380
4,2,2,2020, dum dum,nsw,house,june,575
2,1,3,2019, dunbible,nsw,house,april,480
3,2,2,2021, dunbogan,nsw,house,may,440
4,2,2,2020, duncan,sa,house,november,230
4,2,2,2021, duncraig,wa,house,june,695
5,2,1,2021, dundas,nsw,house,may,775
2,1,1,2021, dundas valley,nsw,unit,may,440
4,2,3,2020, dundathu,qld,house,february,500
4,2,2,2021, dundowran,qld,house,june,500
4,2,3,2021, dundowran beach,qld,house,june,650
3,1,1,2021, dunedoo,nsw,house,april,195
4,1,1,2021, dungog,nsw,house,june,400
3,1,1,2016, dungowan,nsw,house,september,250
4,2,2,2021, dunlop,act,house,june,650
4,2,4,2019, dunmora,qld,house,february,440
3,2,2,2019, dunnrock,qld,house,march,430
3,1,3,2010, dunnstown,vic,house,may,255
3,1,4,2011, dunolly,nsw,house,july,125
4,1,2,2016, dunoon,nsw,house,may,360
3,1,3,2019, dunorlan,tas,house,june,320
4,2,2,2021, dunsborough,wa,house,june,650
2,1,1,2016, dunwich,qld,house,february,300
3,2,2,2021, durack,nt,house,june,650
4,2,2,2021, dural,nsw,house,may,840
4,2,3,2020, duranbah,nsw,house,march,600
4,2,2,2020, duri,nsw,house,january,400
3,2,4,2017, duroby,nsw,house,august,450
3,1,2,2019, durras north,nsw,house,october,350
4,2,3,2021, dutson,vic,house,february,500
3,1,2,2020, dutton,sa,house,september,390
3,2,2,2021, dutton park,qld,house,june,750
3,1,1,2016, dutton way,vic,house,july,190
3,1,1,2021, dwellingup,wa,house,february,300
4,1,3,2018, dyers crossing,nsw,house,july,450
2,1,1,2021, dynnyrne,tas,house,may,380
3,1,4,2021, dysart,qld,house,june,260
1,1,1,2021, eagleby,qld,villa,june,250
4,2,2,2021, eaglehawk,vic,house,june,370
3,2,3,2020, eaglehawk neck,tas,house,october,390
4,2,2,2021, eaglemont,vic,house,may,1100
3,2,2,2021, eagle point,vic,house,april,340
4,2,5,2012, eagleton,nsw,house,november,680
3,1,2,2021, eagle vale,nsw,house,june,470
2,1,1,2021, earlville,qld,unit,june,350
3,2,2,2021, earlwood,nsw,house,june,700
5,2,3,2021, east albury,nsw,house,june,640
2,1,1,2019, east bairnsdale,vic,house,december,250
3,2,2,2021, east ballina,nsw,townhouse,june,550
4,2,2,2021, east bendigo,vic,house,april,450
2,1,1,2021, east branxton,nsw,unit,january,310
2,1,1,2021, east brisbane,qld,unit,june,270
3,1,1,2021, east bunbury,wa,house,may,375
2,1,1,2021, east cannington,wa,unit,february,340
3,2,2,2021, east coraki,nsw,house,january,600
2,1,1,2021, east corrimal,nsw,unit,june,420
3,1,3,2019, east deep creek,qld,house,november,350
3,1,2,2021, east devonport,tas,house,may,300
3,1,1,2021, eastern creek,nsw,house,may,370
4,2,2,2021, eastern heights,qld,house,june,550
3,1,2,2020, east feluga,qld,house,february,260
3,1,1,2021, east fremantle,wa,townhouse,may,675
3,1,2,2021, eastgardens,nsw,house,march,1100
2,1,1,2021, east geelong,vic,house,february,375
2,1,1,2021, east gosford,nsw,villa,may,480
2,1,2,2020, east gresford,nsw,house,march,400
3,3,1,2021, east hills,nsw,townhouse,june,720
3,2,1,2021, east innisfail,qld,house,june,300
2,1,1,2021, east ipswich,qld,house,june,350
3,1,1,2021, east jindabyne,nsw,house,april,1300
2,1,2,2019, east kangaloon,nsw,house,december,350
3,1,2,2020, east kempsey,nsw,house,december,350
5,3,2,2021, east killara,nsw,house,march,1500
3,1,1,2018, east kurrajong,nsw,house,september,420
4,2,1,2021, east launceston,tas,house,april,650
4,2,2,2021, east lindfield,nsw,house,april,1200
1,1,1,2021, east lismore,nsw,unit,june,195
1,1,1,2021, east mackay,qld,unit,may,250
4,2,2,2021, east maitland,nsw,house,june,675
4,3,2,2021, east melbourne,vic,house,june,1800
3,1,3,2016, east moonta,sa,house,november,270
2,1,1,2021, east perth,wa,unit,june,480
4,1,2,2018, east pingelly,wa,house,december,350
3,1,2,2021, east ryde,nsw,house,april,800
3,2,2,2019, east seaham,nsw,house,june,460
3,1,1,2021, east side,nt,house,may,520
2,1,1,2021, east tamworth,nsw,unit,june,350
3,2,1,2021, east toowoomba,qld,house,may,410
5,3,2,2021, east trinity,qld,house,april,550
1,1,1,2021, east victoria park,wa,house,june,150
2,1,1,2020, east wagga wagga,nsw,unit,may,260
3,1,1,2020, east wangaratta,vic,house,january,275
2,1,3,2019, east warburton,vic,house,august,320
3,1,1,2019, east wardell,nsw,house,december,400
6,2,2,2021, eastwood,nsw,house,june,750
3,2,1,2020, eaton,qld,house,june,340
4,2,2,2021, eatons hill,qld,house,may,530
1,1,5,2020, eba anchorage,sa,house,september,220
3,1,3,2020, ebbw vale,qld,house,october,330
2,1,1,2021, ebenezer,nsw,house,june,350
1,1,2,2021, echuca,vic,unit,june,450
4,3,2,2011, echuca west,vic,house,may,420
4,2,2,2021, echunga,sa,house,may,440
2,1,1,2021, eden,nsw,house,march,260
3,1,1,2021, eden hill,wa,villa,may,360
3,2,4,2021, eden hills,sa,house,january,450
3,1,2,2021, edenhope,vic,house,june,290
4,2,5,2021, eden park,vic,house,april,450
4,2,1,2021, edens landing,qld,unit,june,405
3,2,3,2021, edensor park,nsw,house,june,450
3,1,1,2008, eden valley,sa,house,june,160
1,1,1,2021, edgecliff,nsw,unit,may,520
2,1,1,2021, edge hill,qld,house,june,450
4,1,1,2021, edgewater,wa,townhouse,june,420
4,1,1,2021, edgeworth,nsw,house,may,430
3,1,2,2018, edithburgh,sa,house,november,265
3,1,6,2021, edith creek,tas,house,april,340
2,2,1,2021, edithvale,vic,unit,june,450
3,1,2,2019, edi upper,vic,house,february,340
2,1,2,2021, edmondson park,nsw,unit,june,390
3,1,2,2021, edmonton,qld,house,june,395
3,2,2,2021, edwardstown,sa,house,june,500
2,1,1,2021, eerwah vale,qld,house,january,420
2,1,3,2011, eganstown,vic,house,april,260
3,1,3,2020, eggs and bacon bay,tas,house,march,230
3,1,1,2021, eglinton,nsw,house,june,340
3,1,1,2018, eight mile creek,sa,house,april,220
3,2,2,2021, eight mile plains,qld,townhouse,june,405
3,2,1,2019, eildon,vic,house,september,310
4,3,4,2021, eimeo,qld,house,june,850
4,1,1,2019, elaine,vic,house,may,350
3,2,2,2021, elanora,qld,house,june,650
2,1,1,2021, elanora heights,nsw,unit,june,675
2,1,1,2013, el arish,qld,unit,august,250
4,1,2,2020, elbow valley,qld,house,june,360
3,2,2,2021, elderslie,nsw,house,june,500
3,1,2,2017, eldorado,vic,house,march,330
3,2,1,2021, electrona,tas,house,january,500
3,1,1,2021, eleebana,nsw,house,june,499
3,1,1,2021, elermore vale,nsw,townhouse,june,430
2,1,1,2021, elimbah,qld,house,june,310
5,1,1,2017, elingamite,vic,house,august,230
4,2,2,2021, eli waters,qld,house,june,450
3,1,1,2021, elizabeth,sa,house,may,275
1,1,1,2021, elizabeth bay,nsw,unit,june,600
3,2,2,2018, elizabeth beach,nsw,house,january,460
3,1,2,2021, elizabeth downs,sa,house,june,365
3,1,2,2021, elizabeth east,sa,house,june,310
3,1,1,2021, elizabeth grove,sa,house,may,300
2,1,1,2021, elizabeth hills,nsw,house,may,480
3,1,2,2021, elizabeth north,sa,house,june,285
3,1,3,2021, elizabeth park,sa,house,april,295
3,1,2,2021, elizabeth south,sa,house,may,290
4,1,1,2007, elizabeth town,tas,house,may,165
3,1,1,2021, elizabeth vale,sa,house,june,280
1,1,1,2017, ellalong,nsw,house,june,200
5,1,2,2021, elland,nsw,house,march,450
3,2,2,2013, ellaswood,vic,house,march,290
3,2,2,2020, elleker,wa,house,may,460
4,2,2,2021, ellenbrook,wa,house,june,450
3,1,3,2016, ellendale,tas,house,october,250
3,1,1,2021, ellen grove,qld,house,march,350
2,1,2,2019, ellesmere,qld,house,march,270
3,1,3,2021, elliminyt,vic,house,february,300
2,1,6,2020, ellinbank,vic,house,january,300
3,2,3,2010, elliott,qld,house,february,320
4,2,2,2021, elliott heads,qld,house,january,340
1,1,1,2016, ellis lane,nsw,unit,october,270
2,1,2,2020, elmhurst,vic,house,march,400
5,1,2,2013, elmore,vic,house,october,210
1,1,1,2011, elphinstone,vic,house,january,230
4,1,1,2018, elsmore,nsw,house,august,260
2,1,1,2021, elsternwick,vic,unit,june,350
3,1,1,2019, eltham,nsw,house,june,600
5,3,3,2021, eltham north,vic,house,march,850
2,1,1,2021, elwood,vic,house,june,400
3,2,2,2021, embleton,wa,house,may,500
3,1,2,2021, emerald,qld,house,june,300
3,1,2,2021, emerald beach,nsw,unit,june,575
3,2,1,2019, emerald hill,nsw,rural,february,430
3,1,1,2021, emerton,nsw,house,june,335
3,1,1,2020, emmaville,nsw,house,october,270
2,1,3,2021, empire bay,nsw,house,may,520
4,2,2,2017, empire vale,nsw,house,july,500
3,1,3,2021, emu heights,nsw,house,may,570
3,1,2,2021, emu park,qld,house,june,380
3,1,1,2021, emu plains,nsw,house,june,430
3,1,2,2021, emu point,wa,house,january,350
3,1,2,2021, encounter bay,sa,house,june,360
2,1,1,2021, endeavour hills,vic,unit,june,295
2,1,4,2021, enfield,nsw,villa,june,440
3,2,1,2021, engadine,nsw,house,june,750
2,1,1,2021, englorie park,nsw,unit,june,380
3,2,1,2021, enmore,nsw,house,june,1080
6,3,4,2021, enoggera,qld,house,june,680
4,2,2,2019, enoggera reservoir,qld,house,december,750
3,2,1,2019, eppalock,vic,house,july,430
3,1,1,2021, epping,nsw,house,june,600
4,2,2,2016, epsom,qld,house,april,330
